condition,seed,episode,step,action,template,action_signature,total_reward,external_reward,intrinsic_reward,semantic_gain,prophecy_error,error,flag_found,done,imagination_score,imagination_candidate_count
A4_FULL_C3,0,0,18,MOVE_TOWARD,MOVE_TOWARD {KK_FRONTIER_CELL},"MOVE_TOWARD {KK_FRONTIER_CELL}|KK_FRONTIER_CELL=(3, 2)",0.3280357142857143,0.0,0.30000000000000004,3,0.09345238095238097,False,False,False,2.0473003764134745,4
A4_FULL_C3,0,0,19,INSPECT_CELL,INSPECT_CELL {KK_UNKNOWN_NEIGHBOR},"INSPECT_CELL {KK_UNKNOWN_NEIGHBOR}|KK_UNKNOWN_NEIGHBOR=(2, 3)",0.3278571428571429,0.0,0.30000000000000004,3,0.09285714285714285,False,False,False,1.2537196306157263,7
A4_FULL_C3,0,0,20,INSPECT_CELL,INSPECT_CELL {KK_UNKNOWN_NEIGHBOR},"INSPECT_CELL {KK_UNKNOWN_NEIGHBOR}|KK_UNKNOWN_NEIGHBOR=(3, 2)",0.4254761904761905,0.0,0.4,4,0.08492063492063491,False,False,False,3.278891136128277,5
A4_FULL_C3,0,0,21,MOVE_TOWARD,MOVE_TOWARD {KK_FRONTIER_CELL},"MOVE_TOWARD {KK_FRONTIER_CELL}|KK_FRONTIER_CELL=(3, 3)",0.12107142857142857,0.0,0.1,1,0.07023809523809521,False,False,False,1.3696966719224388,4
A4_FULL_C3,0,0,22,MOVE_TOWARD,MOVE_TOWARD {KK_FRONTIER_CELL},"MOVE_TOWARD {KK_FRONTIER_CELL}|KK_FRONTIER_CELL=(4, 2)",0.011904761904761899,0.0,0.0,0,0.039682539682539666,False,False,False,2.73832503512158,6
A4_FULL_C3,0,0,23,MOVE_TOWARD,MOVE_TOWARD {KK_FRONTIER_CELL},"MOVE_TOWARD {KK_FRONTIER_CELL}|KK_FRONTIER_CELL=(4, 2)",-0.14339285714285716,0.0,-0.25,0,0.35535714285714287,True,False,False,2.2680552564860204,4
A4_FULL_C3,0,0,24,USE_OBJECT,USE_OBJECT {KK_KEY_OBJECT} ON {KK_DOOR_CELL},"USE_OBJECT {KK_KEY_OBJECT} ON {KK_DOOR_CELL}|KK_DOOR_CELL=(3, 2),KK_KEY_OBJECT='key#1'",0.1142857142857143,0.0,0.1,1,0.047619047619047616,False,False,False,1.085169274719836,4
A4_FULL_C3,0,0,25,MOVE_TOWARD,MOVE_TOWARD {KK_FRONTIER_CELL},"MOVE_TOWARD {KK_FRONTIER_CELL}|KK_FRONTIER_CELL=(3, 3)",-0.035714285714285726,0.0,-0.05,0,0.04761904761904759,False,False,False,0.48243928225639077,3
A4_FULL_C3,0,0,26,INSPECT_CELL,INSPECT_CELL {KK_UNKNOWN_NEIGHBOR},"INSPECT_CELL {KK_UNKNOWN_NEIGHBOR}|KK_UNKNOWN_NEIGHBOR=(3, 3)",0.3157142857142858,0.0,0.30000000000000004,3,0.05238095238095238,False,False,False,4.710257035899888,5
A4_FULL_C3,0,0,27,MOVE_TOWARD,MOVE_TOWARD {KK_FRONTIER_CELL},"MOVE_TOWARD {KK_FRONTIER_CELL}|KK_FRONTIER_CELL=(4, 3)",0.11642857142857142,0.0,0.1,1,0.05476190476190474,False,False,False,1.5930388630313197,3
