condition,seeds,episodes,success_rate,steps_to_flag_mean,total_reward_mean,external_reward_mean,semantic_gain_mean,prophecy_error_mean,repeat_count_mean,error_count_mean,knowledge_reuse_mean,unique_action_count_mean
C0,10,300,0.4266666666666667,100.66,8.439833333333334,0.4266666666666667,119.41666666666667,0.0,54.156666666666666,6.1033333333333335,10.533333333333333,46.50333333333333
C1,10,300,0.54,96.22,10.341166666666668,0.54,127.89666666666666,0.0,39.263333333333335,5.126666666666667,9.223333333333333,56.95666666666666
C2,10,300,0.53,96.39666666666666,11.691358024873004,0.53,128.24333333333334,0.059135294521287844,40.31666666666667,6.826666666666667,7.303333333333334,56.08
C3,10,300,0.7166666666666667,85.80333333333333,13.73203070314564,0.7166666666666667,137.94,0.06852742253094611,26.976666666666667,5.863333333333333,8.093333333333334,58.52333333333333
C4,10,300,0.7033333333333334,79.95,13.72951781496772,0.7033333333333334,131.14,0.0748271442195379,23.073333333333334,3.256666666666667,9.446666666666667,56.876666666666665
