experiment,suite,environment,phase,metric,target,baseline,paired_seed_count,target_mean,baseline_mean,paired_mean_difference,ci95_low,ci95_high,effect_size_dz,p_value,oracle_excluded,p_value_holm
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,steps,full_aassr,prophecy_no_imagination,30,4.0,4.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,high_level_steps,full_aassr,prophecy_no_imagination,30,4.0,4.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,primitive_steps,full_aassr,prophecy_no_imagination,30,4.0,4.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,reward,full_aassr,prophecy_no_imagination,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,errors,full_aassr,prophecy_no_imagination,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,repeats,full_aassr,prophecy_no_imagination,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,prediction_score,full_aassr,prophecy_no_imagination,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,holdout_score,full_aassr,prophecy_no_imagination,30,1.0,1.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,imagined_nodes,full_aassr,prophecy_no_imagination,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,imagination_depth,full_aassr,prophecy_no_imagination,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,actual_return,full_aassr,prophecy_no_imagination,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,runtime_seconds,full_aassr,prophecy_no_imagination,30,0.0023708782000176143,0.0022881053833795403,8.277281663807421e-05,-4.499566697631937e-06,0.0001745191836283387,0.3221815436879345,0.08624568771561422,True,0.08624568771561422
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,real_transitions,full_aassr,prophecy_no_imagination,30,4.0,4.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,imagined_transitions,full_aassr,prophecy_no_imagination,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,action_proposals,full_aassr,prophecy_no_imagination,30,4.0,4.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,repeat_rate,full_aassr,prophecy_no_imagination,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,error_rate,full_aassr,prophecy_no_imagination,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,success,full_aassr,q_learning,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,steps,full_aassr,q_learning,30,4.0,4.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,high_level_steps,full_aassr,q_learning,30,4.0,4.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,primitive_steps,full_aassr,q_learning,30,4.0,4.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,reward,full_aassr,q_learning,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,errors,full_aassr,q_learning,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,repeats,full_aassr,q_learning,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,imagined_nodes,full_aassr,q_learning,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,imagination_depth,full_aassr,q_learning,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,actual_return,full_aassr,q_learning,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,runtime_seconds,full_aassr,q_learning,30,0.0023708782000176143,0.00010808611688844393,0.0022627920831291702,0.002187947933096438,0.0023306695335534944,11.320886091011667,4.999750012499375e-05,True,0.00024998750062496874
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,real_transitions,full_aassr,q_learning,30,4.0,4.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,imagined_transitions,full_aassr,q_learning,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,action_proposals,full_aassr,q_learning,30,4.0,4.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,repeat_rate,full_aassr,q_learning,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,error_rate,full_aassr,q_learning,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,success,full_aassr,random,30,0.0,0.06716666666666667,-0.06716666666666667,-0.07483333333333334,-0.06016666666666667,-3.230762714183108,4.999750012499375e-05,True,0.00024998750062496874
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,steps,full_aassr,random,30,4.0,4.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,high_level_steps,full_aassr,random,30,4.0,4.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,primitive_steps,full_aassr,random,30,4.0,4.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,reward,full_aassr,random,30,0.0,0.06716666666666667,-0.06716666666666667,-0.07466666666666667,-0.060333333333333336,-3.230762714183108,4.999750012499375e-05,True,0.00024998750062496874
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,errors,full_aassr,random,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,repeats,full_aassr,random,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,prediction_score,full_aassr,random,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,holdout_score,full_aassr,random,30,1.0,0.0,1.0,0.9999999999999999,1.0,1.7751104772046158e+16,4.999750012499375e-05,True,0.00014999250037498125
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,imagined_nodes,full_aassr,random,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,imagination_depth,full_aassr,random,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,actual_return,full_aassr,random,30,0.0,0.06716666666666667,-0.06716666666666667,-0.07466666666666667,-0.060000000000000005,-3.230762714183108,4.999750012499375e-05,True,0.00024998750062496874
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,runtime_seconds,full_aassr,random,30,0.0023708782000176143,0.0019715604333614464,0.0003993177666561678,0.00030234845016093454,0.0004945403331027288,1.4680178867344593,4.999750012499375e-05,True,0.00024998750062496874
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,real_transitions,full_aassr,random,30,4.0,4.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,imagined_transitions,full_aassr,random,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,action_proposals,full_aassr,random,30,4.0,4.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,repeat_rate,full_aassr,random,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_seen,error_rate,full_aassr,random,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_unseen_zero_shot,success,full_aassr,contextual_policy,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_unseen_zero_shot,steps,full_aassr,contextual_policy,30,4.0,4.0,0.0,0.0,0.0,0.0,1.0,True,1.0
