experiment,suite,condition,environment,model,phase,action_family,metric,seed_count,mean,sd,ci95_low,ci95_high,minimum,maximum
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,training,opaque,reward,30,0.6542666666666667,0.011666141203273384,0.6501666666666667,0.6584,0.63,0.6735
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,training,opaque,errors,30,0.0,0.0,0.0,0.0,0.0,0.0
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,training,opaque,repeats,30,0.0,0.0,0.0,0.0,0.0,0.0
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,training,opaque,prediction_score,30,0.0,0.0,0.0,0.0,0.0,0.0
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,training,opaque,holdout_score,30,0.0,0.0,0.0,0.0,0.0,0.0
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,training,opaque,holdout_gain,30,0.0,0.0,0.0,0.0,0.0,0.0
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,training,opaque,imagined_nodes,30,0.0,0.0,0.0,0.0,0.0,0.0
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,training,opaque,imagination_depth,30,0.0,0.0,0.0,0.0,0.0,0.0
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,training,opaque,actual_return,30,0.6542666666666667,0.011666141203273384,0.65015,0.6584,0.63,0.6735
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,training,opaque,runtime_seconds,30,0.00027079407000370946,1.998360363680788e-05,0.0002636343367402636,0.00027765979167064265,0.0002274353499233257,0.000307498999973177
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,training,opaque,real_transitions,30,4.0,0.0,4.0,4.0,4.0,4.0
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,training,opaque,imagined_transitions,30,0.0,0.0,0.0,0.0,0.0,0.0
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,training,opaque,action_proposals,30,4.0,0.0,4.0,4.0,4.0,4.0
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,training,opaque,repeat_rate,30,0.0,0.0,0.0,0.0,0.0,0.0
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,training,opaque,error_rate,30,0.0,0.0,0.0,0.0,0.0,0.0
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,training,opaque,learning_auc,30,0.6543688510922128,0.011657209189754292,0.650200100050025,0.658412539603135,0.6300650325162581,0.6735867933966984
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,training,opaque,final_tail_success,30,0.9113333333333333,0.012312968586100547,0.907,0.9155,0.89,0.94
autonomy,autonomy,contextual_policy,opaque_dependency_l4,none,training,opaque,first_success_real_transitions,30,76.0,76.44515726300467,50.53333333333333,104.4,8.0,316.0
