experiment,suite,environment,phase,metric,target,baseline,paired_seed_count,target_mean,baseline_mean,paired_mean_difference,ci95_low,ci95_high,effect_size_dz,p_value,oracle_excluded,p_value_holm
ablation,ablation,opaque_dependency_l6,evaluation_seen,error_rate,full_aassr,full_depth1_branch1_max,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
ablation,ablation,opaque_dependency_l6,evaluation_seen,success,full_aassr,full_depth1_branch1_mean,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
ablation,ablation,opaque_dependency_l6,evaluation_seen,steps,full_aassr,full_depth1_branch1_mean,30,6.0,6.0,0.0,0.0,0.0,0.0,1.0,True,1.0
ablation,ablation,opaque_dependency_l6,evaluation_seen,high_level_steps,full_aassr,full_depth1_branch1_mean,30,6.0,6.0,0.0,0.0,0.0,0.0,1.0,True,1.0
ablation,ablation,opaque_dependency_l6,evaluation_seen,primitive_steps,full_aassr,full_depth1_branch1_mean,30,6.0,6.0,0.0,0.0,0.0,0.0,1.0,True,1.0
ablation,ablation,opaque_dependency_l6,evaluation_seen,reward,full_aassr,full_depth1_branch1_mean,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
ablation,ablation,opaque_dependency_l6,evaluation_seen,errors,full_aassr,full_depth1_branch1_mean,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
ablation,ablation,opaque_dependency_l6,evaluation_seen,repeats,full_aassr,full_depth1_branch1_mean,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
ablation,ablation,opaque_dependency_l6,evaluation_seen,prediction_score,full_aassr,full_depth1_branch1_mean,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
ablation,ablation,opaque_dependency_l6,evaluation_seen,holdout_score,full_aassr,full_depth1_branch1_mean,30,1.0,1.0,0.0,0.0,0.0,0.0,1.0,True,1.0
ablation,ablation,opaque_dependency_l6,evaluation_seen,imagined_nodes,full_aassr,full_depth1_branch1_mean,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
ablation,ablation,opaque_dependency_l6,evaluation_seen,imagination_depth,full_aassr,full_depth1_branch1_mean,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
