condition,seed,success_rate,steps_to_flag_success_mean,semantic_gain_mean,repeat_rate_mean,error_rate_mean,prophecy_error_mean,total_reward_mean,episodes,successes
C0,0,0.4,106.75,139.53333333333333,0.5387525765719732,0.045779444912577086,0.0,9.703333333333333,30,12
C0,1,0.3,105.77777777777777,137.5,0.565645889238515,0.0508000854470712,0.0,9.016666666666667,30,9
C0,2,0.3,109.44444444444444,133.76666666666668,0.5726254786066389,0.053522789629870206,0.0,8.496666666666668,30,9
C0,3,0.36666666666666664,106.9090909090909,136.83333333333334,0.5560825047600724,0.06830194673370694,0.0,8.685,30,11
C0,4,0.43333333333333335,108.3076923076923,142.4,0.5482681462483359,0.05322885734298151,0.0,9.82,30,13
C0,5,0.3,107.66666666666667,133.6,0.5742240269198113,0.05088608846259433,0.0,8.545,30,9
C0,6,0.36666666666666664,107.54545454545455,136.36666666666667,0.5468706259496832,0.05451694170289599,0.0,9.040000000000001,30,11
C0,7,0.23333333333333334,113.0,137.33333333333334,0.5746821822573792,0.04668177369346321,0.0,8.833333333333334,30,7
C0,8,0.3333333333333333,110.6,146.86666666666667,0.5361429133044088,0.050737706551047715,0.0,10.215000000000002,30,10
C0,9,0.3333333333333333,114.5,138.96666666666667,0.5676878828173108,0.05292848946704526,0.0,9.061666666666667,30,10
C1,0,0.4666666666666667,113.07142857142857,147.56666666666666,0.455351612319449,0.04186312112783881,0.0,11.120000000000001,30,14
C1,1,0.43333333333333335,109.76923076923077,151.43333333333334,0.44165149352795224,0.032386949617148345,0.0,11.831666666666667,30,13
C1,2,0.1,123.33333333333333,136.73333333333332,0.5472605394717149,0.08933510137260452,0.0,7.503333333333334,30,3
C1,3,0.06666666666666667,90.0,136.26666666666668,0.5399077459757071,0.08274471483209347,0.0,7.6850000000000005,30,2
C1,4,0.4666666666666667,109.07142857142857,148.96666666666667,0.437955443955121,0.03803194147704654,0.0,11.495000000000001,30,14
C1,5,0.5666666666666667,107.70588235294117,145.03333333333333,0.4316940014130201,0.04175416585593637,0.0,11.226666666666668,30,17
C1,6,0.5,111.46666666666667,153.36666666666667,0.4269047608445361,0.03756303040440503,0.0,12.048333333333334,30,15
C1,7,0.4666666666666667,112.71428571428571,148.4,0.44982684735543793,0.02924479961067352,0.0,11.628333333333334,30,14
C1,8,0.4,110.58333333333333,146.5,0.4560069139029339,0.031175332770915134,0.0,11.243333333333334,30,12
C1,9,0.5,108.93333333333334,148.56666666666666,0.43466136660395444,0.024365721290696033,0.0,11.928333333333335,30,15
C2,0,0.06666666666666667,124.0,133.33333333333334,0.5640715216986404,0.09033556838641585,0.07685677379093271,10.17086075430771,30,2
C2,1,0.3333333333333333,108.2,153.4,0.4476019818043644,0.037250518678978266,0.04966558812782374,13.642658128751286,30,10
C2,2,0.03333333333333333,115.0,136.43333333333334,0.550424430641822,0.07801242236024844,0.0689696996014247,10.544769112329707,30,1
C2,3,0.06666666666666667,111.0,134.6,0.5537088773812446,0.08632624950806769,0.07590784707850372,10.430683196647914,30,2
C2,4,0.36666666666666664,108.54545454545455,147.16666666666666,0.4554493093902786,0.04792791076908215,0.05428856563654374,12.879062025734067,30,11
C2,5,0.4,108.58333333333333,146.6,0.46040992985499823,0.047222041047128495,0.05735273238072642,12.982727687155256,30,12
C2,6,0.1,108.0,136.3,0.5535568790495797,0.09522841969466057,0.07513723465621805,10.370186789942311,30,3
C2,7,0.3,101.33333333333333,143.73333333333332,0.4743177574249105,0.04738155353363388,0.05621027238214192,12.426829205845536,30,9
C2,8,0.13333333333333333,98.0,137.76666666666668,0.5238014428382926,0.08233865957304755,0.06693399393665318,10.747552640306933,30,4
C2,9,0.1,128.0,138.23333333333332,0.5452675372992479,0.09432165374132949,0.0747874418561813,10.624422857632775,30,3
C3,0,0.4666666666666667,71.57142857142857,143.76666666666668,0.353326550106061,0.05356830595454709,0.05813439546082975,13.145015750163976,30,14
C3,1,0.3,87.44444444444444,136.6,0.4896041454755199,0.048886342608516965,0.05237753291077561,11.365475226085373,30,9
C3,2,0.43333333333333335,95.3076923076923,135.4,0.445605554403447,0.039396758771000844,0.049423369289155326,11.75082510293724,30,13
C3,3,0.36666666666666664,68.81818181818181,134.8,0.4316261072201642,0.05553374485213337,0.05691152460030797,11.566657778451697,30,11
C3,4,0.16666666666666666,84.8,120.76666666666667,0.5493540109905365,0.043600639329806,0.04765922129346665,9.118367899720017,30,5
C3,5,0.5,81.26666666666667,147.43333333333334,0.3900793822001867,0.06068042147696143,0.06310515893956027,13.440312420919824,30,15
C3,6,0.1,72.66666666666667,134.4,0.5192081422189081,0.06450240988655473,0.05794625438545389,10.500460247381445,30,3
C3,7,0.6,79.72222222222223,131.33333333333334,0.3623991269925218,0.03604616286518508,0.05307596744548214,12.160355485341476,30,18
C3,8,0.4666666666666667,93.42857142857143,146.16666666666666,0.39764357479957596,0.05315881174804139,0.058497864335858185,13.22402899111694,30,14
C3,9,0.8333333333333334,79.72,158.76666666666668,0.23981388202186077,0.05423585732443324,0.07060358656213354,16.343100394687724,30,25
C4,0,0.36666666666666664,65.45454545454545,93.73333333333333,0.5236659847294217,0.00808325846061695,0.045799266213522614,7.206297089109843,30,11
C4,1,0.5,70.13333333333334,106.76666666666667,0.43368789958462456,0.01151153235926336,0.05250123668065111,9.420733013569368,30,15
C4,2,0.6333333333333333,72.47368421052632,113.63333333333334,0.3674814310629656,0.019529495028244477,0.055773519563329016,10.739339354329243,30,19
C4,3,0.6666666666666666,66.45,111.53333333333333,0.35491810000888663,0.01100013150886753,0.05978765706946707,10.845753252202273,30,20
C4,4,0.43333333333333335,80.15384615384616,130.4,0.40471273510671196,0.05086914512951045,0.06878797566697215,11.747127149769803,30,13
C4,5,0.5333333333333333,80.3125,114.53333333333333,0.43095577764571985,0.02458597500557735,0.057940793342873366,10.26172166906725,30,16
C4,6,0.6,75.16666666666667,131.33333333333334,0.32653314822993645,0.03689770443617182,0.06766844227362988,12.682838836275309,30,18
C4,7,0.23333333333333334,64.85714285714286,85.16666666666667,0.6169182538508938,0.003526256091690242,0.03695136317517162,5.576994202639516,30,7
