condition,seed,success_rate,steps_to_flag_success_mean,semantic_gain_mean,repeat_rate_mean,error_rate_mean,prophecy_error_mean,total_reward_mean,episodes,successes
C0,0,0.5333333333333333,68.375,114.16666666666667,0.4779784676019102,0.0576535001343919,0.0,8.458333333333334,30,16
C0,1,0.26666666666666666,79.25,119.73333333333333,0.5461863183040245,0.05606014071305822,0.0,7.915000000000001,30,8
C0,2,0.4666666666666667,78.92857142857143,127.63333333333334,0.47787591973101706,0.05437706423515838,0.0,9.65,30,14
C0,3,0.23333333333333334,64.57142857142857,121.16666666666667,0.5272087715156496,0.048306688948131435,0.0,8.350000000000001,30,7
C0,4,0.6333333333333333,75.0,116.36666666666666,0.46194231829965626,0.058795823639658525,0.0,8.891666666666667,30,19
C0,5,0.36666666666666664,80.9090909090909,117.26666666666667,0.5388395773785716,0.05462128517230718,0.0,7.961666666666667,30,11
C0,6,0.36666666666666664,79.54545454545455,114.66666666666667,0.5391899638496762,0.10054034789846471,0.0,6.518333333333334,30,11
C0,7,0.5333333333333333,74.9375,120.36666666666666,0.485274462613762,0.04927521884027946,0.0,9.116666666666667,30,16
C0,8,0.5333333333333333,71.4375,120.7,0.4748038551329643,0.06356341092913295,0.0,8.870000000000001,30,16
C0,9,0.3333333333333333,74.1,122.1,0.5097993889797716,0.05012915077666892,0.0,8.666666666666668,30,10
C1,0,0.7666666666666667,71.3913043478261,128.86666666666667,0.2784713694198949,0.0364782276093689,0.0,11.555000000000001,30,23
C1,1,0.3,79.33333333333333,130.6,0.41632782136695345,0.03676453005173414,0.0,10.181666666666667,30,9
C1,2,0.5,80.0,129.66666666666666,0.37852552970058445,0.05088811638044155,0.0,10.211666666666668,30,15
C1,3,0.3333333333333333,72.7,123.0,0.43123880854689384,0.055378578725813865,0.0,8.936666666666667,30,10
C1,4,0.5,71.93333333333334,130.0,0.34115483152313675,0.05078769645461409,0.0,10.48,30,15
C1,5,0.5666666666666667,81.05882352941177,127.83333333333333,0.3658470531396709,0.048011816532014244,0.0,10.301666666666668,30,17
C1,6,0.5333333333333333,74.3125,124.66666666666667,0.3672672890020546,0.093403946767181,0.0,8.861666666666668,30,16
C1,7,0.5666666666666667,81.76470588235294,129.46666666666667,0.37954814640229284,0.03672505181710138,0.0,10.581666666666667,30,17
C1,8,0.6333333333333333,73.05263157894737,129.0,0.33373305478841414,0.025844419940211784,0.0,11.303333333333335,30,19
C1,9,0.7,76.14285714285714,125.86666666666666,0.34114120458118713,0.031036265292313178,0.0,10.998333333333333,30,21
C2,0,0.6,74.83333333333333,130.66666666666666,0.36451136547108015,0.07816561070541746,0.06754449864545066,11.9128179133988,30,18
C2,1,0.43333333333333335,78.3076923076923,132.4,0.3993251534127488,0.04375054750017988,0.05830611207056084,12.239801727330434,30,13
C2,2,0.5,71.2,131.13333333333333,0.36320464176799233,0.041741478557288735,0.06008571510670049,12.537733270959503,30,15
C2,3,0.43333333333333335,77.3076923076923,122.13333333333334,0.4085620829437989,0.02458490384871514,0.04814981227863079,11.269635800401387,30,13
