condition,success_rate_mean,success_rate_ci95_low,success_rate_ci95_high,steps_to_flag_mean,steps_to_flag_ci95_low,steps_to_flag_ci95_high,semantic_gain_mean,repeat_rate_mean,error_rate_mean,prophecy_error_mean,total_reward_mean
C0,0.33666666666666667,0.30333333333333334,0.37333333333333335,109.05011266511266,107.39055555555555,110.62400155400155,138.31666666666666,0.5580982226674128,0.05273841239432535,0.0,9.141666666666667
C1,0.39666666666666667,0.27666666666666667,0.4866666666666667,109.66489226459815,104.64238095238095,113.79216117216117,146.28333333333333,0.4621220725369827,0.044846487835935776,0.0,10.771
C2,0.19,0.10333333333333333,0.27666666666666667,111.06621212121212,106.16909090909091,116.62,140.75666666666666,0.5128609667383379,0.07063449972925924,0.06561101494471495,11.48197523986535
C3,0.42333333333333334,0.30333333333333334,0.5433333333333333,81.47458741258741,76.05824686424687,86.5643076923077,138.94333333333333,0.4178660476428782,0.05096094548171801,0.05677348752230233,12.261459929680571
C4,0.5266666666666666,0.43333333333333335,0.6066666666666667,73.98438239392186,70.12033449007133,78.09198790244844,114.93666666666667,0.41630321397914777,0.019916575858386354,0.05581158183412869,10.394757201223449
DQN_PARTIAL,0.5533333333333333,0.49,0.6166666666666667,98.07056286549708,92.96792397660819,103.22041666666667,146.27666666666667,0.4104103292735764,0.043661519248654954,0.0,11.467666666666668
ORACLE_MDP,1.0,1.0,1.0,15.086666666666666,15.006666666666666,15.166666666666666,0.0,0.0,0.0,0.0,1.0
QLEARN,0.6933333333333334,0.6166666666666667,0.7566666666666667,89.67384213040964,86.82435763321347,92.15044006336913,149.88333333333333,0.33965043671710116,0.023232868736134612,0.0,13.164833333333334
