research_seed,world_seed,track,affordance_ablation,solvable,minimum_plan_length,valid_solution_count,causal_family_count,dead_end_count,random_success,adequate
5101,112001,opaque_skill,0,1,4,104,104,370,0.0175,1
5101,112002,opaque_skill,0,1,4,104,104,370,0.016,1
5107,112001,opaque_skill,0,1,4,104,104,370,0.0175,1
5107,112002,opaque_skill,0,1,4,104,104,370,0.016,1
5113,112001,opaque_skill,0,1,4,104,104,370,0.0175,1
5113,112002,opaque_skill,0,1,4,104,104,370,0.016,1
