experiment,suite,condition,environment,model,phase,action_family,metric,seed_count,mean,sd,ci95_low,ci95_high,minimum,maximum
creativity,creativity,aassr_no_novelty,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,primitive_steps,30,3.3333333333333335,0.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335
creativity,creativity,aassr_no_novelty,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,reward,30,1.0,0.0,1.0,1.0,1.0,1.0
creativity,creativity,aassr_no_novelty,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,errors,30,0.0,0.0,0.0,0.0,0.0,0.0
creativity,creativity,aassr_no_novelty,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,repeats,30,0.0,0.0,0.0,0.0,0.0,0.0
creativity,creativity,aassr_no_novelty,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,imagined_nodes,30,0.0,0.0,0.0,0.0,0.0,0.0
creativity,creativity,aassr_no_novelty,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,actual_return,30,1.0,0.0,1.0,1.0,1.0,1.0
creativity,creativity,aassr_no_novelty,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,runtime_seconds,30,0.00036804777822302035,4.8179261063042956e-05,0.0003538422231536565,0.0003862800021629988,0.00033836667231904965,0.0005670000003495564
creativity,creativity,aassr_no_novelty,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,real_transitions,30,3.3333333333333335,0.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335
creativity,creativity,aassr_no_novelty,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,imagined_transitions,30,0.0,0.0,0.0,0.0,0.0,0.0
creativity,creativity,aassr_no_novelty,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,action_proposals,30,3.3333333333333335,0.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335
creativity,creativity,aassr_no_novelty,multi_solution_dependency,online,evaluation_unseen_adaptation,causal_effect_graph,novelty_score,30,1.0,0.0,1.0,1.0,1.0,1.0
