condition,research_seed,training_episodes,training_final_tail_success,frozen_success_rate,mean_steps,failed_action_rate,mean_block_moves,imagination_intervention_rate,checkpoint_before_evaluation,checkpoint_after_evaluation,evaluation_learning_calls,prophecy_return_brier,prophecy_effect_error
random,9101,0,0.0,0.0,35.0,0.3585714285714286,1.45,0.0,,,0,,
contextual_policy,9101,150,0.18,0.2,30.2,0.9205298013245033,0.4,0.0,840042e2bdcf192ea0956d2ab7d88a2d5605f6a9f0d92fb413b3db2a79bf0642,840042e2bdcf192ea0956d2ab7d88a2d5605f6a9f0d92fb413b3db2a79bf0642,0,,
full_aassr,9101,150,0.14,0.2,30.6,0.9084967320261438,0.6,0.0,547e3c6b2fd4fe65ec68714cba671605784b2a2c3aa5ec1b8a5e98ea4db5dde7,547e3c6b2fd4fe65ec68714cba671605784b2a2c3aa5ec1b8a5e98ea4db5dde7,0,0.012671146667787035,0.22011251758087202
random,9103,0,0.0,0.0,35.0,0.37714285714285717,1.5,0.0,,,0,,
contextual_policy,9103,150,0.16,0.2,30.2,0.9205298013245033,0.4,0.0,0ca6b68c915b2cc784cf5d469f83cba2d525003c252e6666634cbdd76461750b,0ca6b68c915b2cc784cf5d469f83cba2d525003c252e6666634cbdd76461750b,0,,
full_aassr,9103,150,0.16,0.2,30.2,0.9205298013245033,0.4,0.0,e6f14b946e9f77ca4a304b688da3c69d4cfb9537bfbca5a410b30e28de6d47e4,e6f14b946e9f77ca4a304b688da3c69d4cfb9537bfbca5a410b30e28de6d47e4,0,0.012766132503209312,0.21826523923967664
random,9109,0,0.0,0.0,35.0,0.3514285714285714,2.05,0.0,,,0,,
contextual_policy,9109,150,0.0,0.0,35.0,0.9771428571428571,0.2,0.0,a4e2bc1e137ecc21b2010fb15b249ff73195675eec56dc7ec081df9144bc96ce,a4e2bc1e137ecc21b2010fb15b249ff73195675eec56dc7ec081df9144bc96ce,0,,
full_aassr,9109,150,0.0,0.0,35.0,0.9771428571428571,0.2,0.0,0d671b2ecdccbac0e3badc71d7df132039e3fa560420ff42d3ef051a488dfbce,0d671b2ecdccbac0e3badc71d7df132039e3fa560420ff42d3ef051a488dfbce,0,0.0,0.2023706896551724
