experiment,suite,condition,environment,model,phase,action_family,metric,seed_count,mean,sd,ci95_low,ci95_high,minimum,maximum
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,actual_return,30,0.06333333333333332,0.04291799183312874,0.04916666666666667,0.07916666666666666,0.0,0.15
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,runtime_seconds,30,0.0010348016116593498,0.00026890478496024436,0.0009793539308232235,0.0011379517074958131,0.0009492420999522437,0.0024528579999532666
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,real_transitions,30,6.0,0.0,6.0,6.0,6.0,6.0
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,imagined_transitions,30,0.0,0.0,0.0,0.0,0.0,0.0
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,action_proposals,30,6.0,0.0,6.0,6.0,6.0,6.0
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,repeat_rate,30,0.0,0.0,0.0,0.0,0.0,0.0
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,error_rate,30,0.0,0.0,0.0,0.0,0.0,0.0
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,checkpoint_transfer,adaptation_curve,effect_profile,adaptation_auc,30,0.12044270833333333,0.08886083474435585,0.09046223958333334,0.15263671875,0.0,0.31640625
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,checkpoint_transfer,adaptation_curve,effect_profile,episodes_to_50,2,64.0,0.0,64.0,64.0,64.0,64.0
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,checkpoint_transfer,adaptation_curve,effect_profile,transfer_gain_vs_from_scratch,30,0.0,0.0,0.0,0.0,0.0,0.0
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,checkpoint_transfer,adaptation_curve,effect_profile,sample_saving_to_50,2,0.0,0.0,0.0,0.0,0.0,0.0
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,checkpoint_transfer,adaptation_curve,effect_profile,unseen_prediction_calibration_error,30,0.6868055555555556,0.04795985476647053,0.670138888888889,0.70375,0.5791666666666666,0.7666666666666666
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,adaptation,opaque,success,30,0.08803921568627451,0.07124413549521899,0.06392156862745098,0.11387254901960783,0.0,0.24705882352941178
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,adaptation,opaque,steps,30,6.0,0.0,6.0,6.0,6.0,6.0
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,adaptation,opaque,reward,30,0.08803921568627451,0.07124413549521899,0.062401960784313724,0.11362745098039215,0.0,0.24705882352941178
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,adaptation,opaque,errors,30,0.0,0.0,0.0,0.0,0.0,0.0
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,adaptation,opaque,repeats,30,0.0,0.0,0.0,0.0,0.0,0.0
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,adaptation,opaque,prediction_score,30,0.9020506535947711,0.00396437680025816,0.9006535947712418,0.9034150326797385,0.8941176470588234,0.9085784313725489
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,adaptation,opaque,holdout_score,30,0.22081611958396302,0.002208245845170956,0.2200352864182264,0.2215808563800029,0.21706773618538328,0.22546160130718948
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,adaptation,opaque,holdout_gain,30,0.0007321001438648498,0.00032146641460414487,0.0006228749010611756,0.0008427767539287148,0.00014705882352941172,0.0014447167755991287
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,adaptation,opaque,imagined_nodes,30,100.78769607843137,4.2762308686472865,99.23303921568626,102.22612745098039,89.83529411764705,107.57794117647059
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,adaptation,opaque,imagination_depth,30,4.8606372549019605,0.09634911969296198,4.825343137254902,4.891078431372549,4.507352941176471,4.985294117647059
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,adaptation,opaque,actual_return,30,0.08803921568627451,0.07124413549521899,0.06357843137254902,0.11357843137254901,0.0,0.24705882352941178
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,adaptation,opaque,runtime_seconds,30,0.0033395192549676937,0.00019978192962667496,0.003283127882486773,0.0034215481226048867,0.0030770055875216393,0.0042862502940646235
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,adaptation,opaque,real_transitions,30,6.0,0.0,6.0,6.0,6.0,6.0
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,adaptation,opaque,imagined_transitions,30,100.78769607843137,4.2762308686472865,99.27073529411764,102.21671568627451,89.83529411764705,107.57794117647059
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,adaptation,opaque,action_proposals,30,6.0,0.0,6.0,6.0,6.0,6.0
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,adaptation,opaque,repeat_rate,30,0.0,0.0,0.0,0.0,0.0,0.0
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,adaptation,opaque,error_rate,30,0.0,0.0,0.0,0.0,0.0,0.0
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,success,30,0.065,0.04716076686223924,0.04833333333333333,0.08083333333333334,0.0,0.15
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,steps,30,6.0,0.0,6.0,6.0,6.0,6.0
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,reward,30,0.065,0.04716076686223924,0.04916666666666667,0.08166666666666668,0.0,0.15
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,errors,30,0.0,0.0,0.0,0.0,0.0,0.0
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,repeats,30,0.0,0.0,0.0,0.0,0.0,0.0
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,prediction_score,30,0.7506944444444452,0.018732697423111823,0.7440277777777806,0.7570833333333343,0.708333333333339,0.7791666666666672
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,holdout_score,30,0.5616049116945852,0.019743253061305848,0.5546217336407543,0.5684450757575767,0.5219047619047615,0.5944444444444457
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,imagined_nodes,30,67.03666666666668,14.681623708317948,62.002500000000005,72.095,42.975,93.625
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,imagination_depth,30,1.7141666666666666,0.3779301233838334,1.5791666666666666,1.8483333333333334,1.05,2.55
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,actual_return,30,0.065,0.04716076686223924,0.04916666666666667,0.08166666666666668,0.0,0.15
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,runtime_seconds,30,0.002501754656657916,0.0003005559697822666,0.0023967723266825488,0.002610005972443469,0.002025153974769637,0.0031070128249994014
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,real_transitions,30,6.0,0.0,6.0,6.0,6.0,6.0
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,imagined_transitions,30,67.03666666666668,14.681623708317948,62.0225,72.14833333333334,42.975,93.625
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,action_proposals,30,6.0,0.0,6.0,6.0,6.0,6.0
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,repeat_rate,30,0.0,0.0,0.0,0.0,0.0,0.0
transfer,transfer,from_scratch_full_aassr,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,error_rate,30,0.0,0.0,0.0,0.0,0.0,0.0
transfer,transfer,full_transfer,opaque_dependency_l6,checkpoint_transfer,adaptation_curve,effect_profile,adaptation_auc,30,0.1353515625,0.1177604192978802,0.09814453125,0.18017578125,0.0,0.556640625
transfer,transfer,full_transfer,opaque_dependency_l6,checkpoint_transfer,adaptation_curve,effect_profile,episodes_to_50,3,32.0,27.712812921102035,16.0,64.0,16.0,64.0
transfer,transfer,full_transfer,opaque_dependency_l6,checkpoint_transfer,adaptation_curve,effect_profile,transfer_gain_vs_from_scratch,30,0.014908854166666667,0.13740397800596524,-0.034016927083333336,0.06311848958333334,-0.26953125,0.298828125
transfer,transfer,full_transfer,opaque_dependency_l6,checkpoint_transfer,adaptation_curve,effect_profile,unseen_prediction_calibration_error,30,0.6943055555555555,0.08241217411989143,0.6633333333333333,0.7211111111111111,0.44583333333333336,0.8
transfer,transfer,full_transfer,opaque_dependency_l6,tabular_online,adaptation,opaque,success,30,0.10441176470588236,0.08648535150151597,0.07691176470588236,0.13661764705882354,0.0,0.4102941176470588
transfer,transfer,full_transfer,opaque_dependency_l6,tabular_online,adaptation,opaque,steps,30,6.0,0.0,6.0,6.0,6.0,6.0
transfer,transfer,full_transfer,opaque_dependency_l6,tabular_online,adaptation,opaque,reward,30,0.10441176470588236,0.08648535150151597,0.07666666666666666,0.1381372549019608,0.0,0.4102941176470588
transfer,transfer,full_transfer,opaque_dependency_l6,tabular_online,adaptation,opaque,errors,30,0.0,0.0,0.0,0.0,0.0,0.0
transfer,transfer,full_transfer,opaque_dependency_l6,tabular_online,adaptation,opaque,repeats,30,0.0,0.0,0.0,0.0,0.0,0.0
transfer,transfer,full_transfer,opaque_dependency_l6,tabular_online,adaptation,opaque,prediction_score,30,0.9052532679738563,0.008944007728836748,0.9019526143790849,0.9083169934640523,0.8870098039215687,0.9176470588235294
transfer,transfer,full_transfer,opaque_dependency_l6,tabular_online,adaptation,opaque,holdout_score,30,0.2469669117647059,0.001587843635288614,0.2463794424019608,0.24750229779411764,0.2426776960784314,0.24901960784313726
transfer,transfer,full_transfer,opaque_dependency_l6,tabular_online,adaptation,opaque,holdout_gain,30,8.859272875816992e-05,0.00010608639746678273,5.259395424836599e-05,0.00012765522875816994,0.0,0.0003676470588235297
transfer,transfer,full_transfer,opaque_dependency_l6,tabular_online,adaptation,opaque,imagined_nodes,30,98.28426470588235,10.24778404278482,94.82083333333334,101.91323529411764,78.2235294117647,124.32941176470588
transfer,transfer,full_transfer,opaque_dependency_l6,tabular_online,adaptation,opaque,imagination_depth,30,4.8595098039215685,0.17815446344820537,4.792450980392157,4.922549019607843,4.329411764705882,5.235294117647059
