condition,success_rate_mean,success_rate_ci95_low,success_rate_ci95_high,steps_to_flag_mean,steps_to_flag_ci95_low,steps_to_flag_ci95_high,semantic_gain_mean,repeat_rate_mean,error_rate_mean,prophecy_error_mean,total_reward_mean
A3_D1_B1,0.47,0.31666666666666665,0.6333333333333333,74.1094534223946,71.98736227824463,76.44603174603175,143.31666666666666,0.33550984183651716,0.053125335348136356,0.06152596872906052,13.621123106491664
A3_D1_B3,0.47,0.31666666666666665,0.6333333333333333,74.1094534223946,71.98736227824463,76.44603174603175,143.31666666666666,0.33550984183651716,0.053125335348136356,0.06152596872906052,13.621123106491664
A3_D1_B5,0.47,0.31666666666666665,0.6333333333333333,74.1094534223946,71.98736227824463,76.44603174603175,143.31666666666666,0.33550984183651716,0.053125335348136356,0.06152596872906052,13.621123106491664
A3_D2_B1,0.45333333333333337,0.32999999999999996,0.5800000000000001,77.49634131314909,72.50405034324943,82.42980769230769,141.67000000000002,0.34602063568045066,0.050677032481233716,0.059058526090943544,13.378357802416168
A3_D2_B3,0.42333333333333334,0.29,0.5633333333333334,74.39745337995338,69.30040792540792,79.1775,139.20666666666665,0.3517100569033217,0.051014301918553426,0.05854682142797154,13.029716561607042
A3_D2_B5,0.3933333333333333,0.28,0.51,75.02028305028306,69.99172077922078,79.96087995337996,139.28333333333333,0.36518618392740676,0.050501761188759924,0.05803265780373257,12.927553029560142
A3_D3_B1,0.49333333333333335,0.3566666666666667,0.6333333333333333,74.88794105960346,71.3496168757358,78.05238215488215,142.16666666666666,0.32609439742885443,0.049851059591597774,0.05942923064793591,13.594097469469963
A3_D3_B3,0.4266666666666667,0.2966666666666667,0.5633333333333334,76.65893065268065,71.3888548951049,82.2875,139.90333333333334,0.35842168195429247,0.05226362595726696,0.0593676084914717,13.067751679192773
A3_D3_B5,0.42666666666666664,0.32,0.5333333333333333,74.37626678876678,69.83175685425685,78.86255633255634,140.15666666666667,0.3537648151784262,0.051282727974846634,0.05898724371881084,13.129519974593908
