condition,success_rate_mean,success_rate_ci95_low,success_rate_ci95_high,steps_to_flag_mean,steps_to_flag_ci95_low,steps_to_flag_ci95_high,semantic_gain_mean,repeat_rate_mean,error_rate_mean,prophecy_error_mean,total_reward_mean
A4_FULL_C3,0.97,0.9566666666666667,0.9833333333333334,23.143522167487685,21.688998357963875,24.619039408866996,51.906666666666666,0.08742553191727177,0.041835072950657026,0.09190049929751251,6.16979632763006
A4_NO_DEPENDENCY,0.9766666666666667,0.96,0.99,23.223579638752053,21.77072249589491,24.659211822660097,51.876666666666665,0.08209647030689964,0.04115778339261405,0.09185252228034582,6.203645739675092
A4_NO_POLICY_PRIOR,0.9566666666666667,0.9266666666666666,0.9833333333333334,23.404284802043424,21.99574621419449,24.525714285714287,51.64333333333333,0.09570790394266579,0.03609508292965048,0.086511847846423,6.056735672956109
A4_NO_REPEAT_PENALTY,0.88,0.8533333333333334,0.9133333333333333,20.686299243540624,19.071025051576775,22.225172413793103,50.56333333333333,0.14371996775617987,0.04086918271574895,0.08927628347270489,5.607645353261566
A4_NO_ROLLOUT_VALUE,0.9766666666666667,0.96,0.99,23.223579638752053,21.77072249589491,24.659211822660097,51.876666666666665,0.08209647030689964,0.04115778339261405,0.09185252228034582,6.203645739675092
A4_ONE_STEP_NO_DEP,0.9766666666666667,0.96,0.99,23.223579638752053,21.77072249589491,24.659211822660097,51.876666666666665,0.08209647030689964,0.04115778339261405,0.09185252228034582,6.203645739675092
