condition,success_rate_mean,success_rate_ci95_low,success_rate_ci95_high,steps_to_flag_mean,steps_to_flag_ci95_low,steps_to_flag_ci95_high,semantic_gain_mean,repeat_rate_mean,error_rate_mean,prophecy_error_mean,total_reward_mean
A5_FULL_C3,0.42333333333333334,0.29,0.5633333333333334,74.39745337995338,69.30040792540792,79.1775,139.20666666666665,0.3517100569033217,0.051014301918553426,0.05854682142797154,13.029716561607042
A5_NO_ERROR_AVOIDANCE,0.14666666666666667,0.06666666666666667,0.24,88.02604166666667,78.31770833333333,99.4375,132.31,0.4723892776156247,0.07958705923418559,0.0677286864973169,11.043320575218017
A5_NO_FLAG_PROB,0.44333333333333336,0.30666666666666664,0.5733333333333334,75.86435185185185,71.97857142857143,79.919708994709,140.91,0.3525164910384482,0.0507140295384407,0.058573777250291476,13.219170055505332
A5_NO_KNOWLEDGE_GAIN,0.7633333333333333,0.7466666666666667,0.78,60.10064229249012,59.311462450592884,61.177470355731224,119.81666666666666,0.2264599040775361,0.004248239113192343,0.03577073405312692,12.078722259166677
