condition,success_rate_mean,success_rate_ci95_low,success_rate_ci95_high,steps_to_flag_mean,steps_to_flag_ci95_low,steps_to_flag_ci95_high,semantic_gain_mean,repeat_rate_mean,error_rate_mean,prophecy_error_mean,total_reward_mean
A5_FULL_C3,0.7166666666666667,0.6866666666666666,0.7533333333333333,72.09333099547287,68.14702848029164,75.81198945981555,137.94,0.25373341341774824,0.05950445926076049,0.0685274225309461,13.73203070314564
A5_NO_ERROR_AVOIDANCE,0.6833333333333333,0.63,0.72,68.87469070403282,64.81883116883117,72.83257404875826,136.98666666666668,0.25299184057553187,0.0734045881234831,0.07494264705610615,13.47124012735127
A5_NO_FLAG_PROB,0.7,0.6666666666666666,0.73,72.91225536667756,69.87375939849625,75.96030701754385,140.62333333333333,0.2576175937006235,0.0610241027843178,0.07040174915233295,14.013961786182676
A5_NO_KNOWLEDGE_GAIN,0.75,0.7066666666666667,0.7966666666666666,64.99068864354562,61.784026444569925,67.83037027350986,130.4,0.19288544899977622,0.03414658016598805,0.05279229089130169,13.242461635022618
