condition,success_rate_mean,success_rate_ci95_low,success_rate_ci95_high,steps_to_flag_mean,steps_to_flag_ci95_low,steps_to_flag_ci95_high,semantic_gain_mean,repeat_rate_mean,error_rate_mean,prophecy_error_mean,total_reward_mean
A3_D1_B1,0.7033333333333333,0.6766666666666666,0.7333333333333333,72.9526093643199,70.50883116883116,75.62922191843245,139.48666666666668,0.2560995112755282,0.05991174162265277,0.06889935971704325,13.877963830635238
A3_D1_B3,0.7033333333333333,0.6766666666666666,0.7333333333333333,72.9526093643199,70.50883116883116,75.62922191843245,139.48666666666668,0.2560995112755282,0.05991174162265277,0.06889935971704325,13.877963830635238
A3_D1_B5,0.7033333333333333,0.6766666666666666,0.7333333333333333,72.9526093643199,70.50883116883116,75.62922191843245,139.48666666666668,0.2560995112755282,0.05991174162265277,0.06889935971704325,13.877963830635238
A3_D2_B1,0.7366666666666667,0.7,0.77,73.86419138755981,70.32844268774704,77.36948783024755,139.39333333333335,0.24978764057819028,0.05735150746510343,0.06888591984393042,13.987838287246868
A3_D2_B3,0.7166666666666667,0.6866666666666666,0.7533333333333333,72.09333099547287,68.14702848029164,75.81198945981555,137.94,0.25373341341774824,0.05950445926076049,0.0685274225309461,13.73203070314564
A3_D2_B5,0.7133333333333333,0.6833333333333333,0.7466666666666666,72.72132786511733,69.60745226703122,75.91889177489178,138.39666666666668,0.255785272799761,0.059888065723154325,0.0685508541496659,13.755922885305225
A3_D3_B1,0.7233333333333333,0.6866666666666666,0.7633333333333333,72.9905593331154,68.98549373433583,76.68530961791832,139.09333333333333,0.2505854035238239,0.05899216073025342,0.06824854705581397,13.874842628267178
A3_D3_B3,0.7033333333333334,0.6699999999999999,0.7433333333333333,71.76553514220333,68.20722807017543,75.23146997929607,137.39333333333332,0.25627574954585364,0.0613732299622564,0.06883805879941732,13.611341759287681
A3_D3_B5,0.7166666666666667,0.6866666666666666,0.7566666666666667,72.2654036226931,68.94714057871953,75.65330086580087,138.14333333333332,0.25272150263708004,0.06065906802583959,0.06901860231853826,13.742077876051535
